CNCCCSDS	CCSDS VERSION NB	F	3	0		3	D
CNCCCSDS	CCSDS TYPE	F	1	3		1	D
CNCCCSDS	CCSDS HEAD FLG 0	F	1	4		0	D
CNCCCSDS	CCSDS APID	A	11	5	APID		H
CNCCCSDS	CCSDS SEQ FLAG	F	2	16		3	D
CNCCCSDS	CCSDS SEQ COUNT	P	14	18	SSC		H
CNCCCSDS	CCSDS PKT LENGTH	P	16	32	LENGTH		H
STDXPUSS	CCSDS VERSION NB	F	3	0		0	D
STDXPUSS	CCSDS TYPE	F	1	3		1	D
STDXPUSS	CCSDS HEAD FLG 0	F	1	4		1	D
STDXPUSS	CCSDS APID	A	11	5	APID		H
STDXPUSS	CCSDS SEQ FLAG	F	2	16		3	D
STDXPUSS	CCSDS SEQ COUNT	P	14	18	SSC		H
STDXPUSS	CCSDS PKT LENGTH	P	16	32	LENGTH		H
STDXPUSS	HEADER FLAG	F	1	48		0	D
STDXPUSS	PUS VERSION NB	F	3	49		1	D
STDXPUSS	PUS SPARE	K	4	52	ACK		H
STDXPUSS	PUS SERV TYPE	T	8	56	TYPE		H
STDXPUSS	PUS SERV SUBTYP	S	8	64	SUB_TYPE		H
STDXPUSS	PUS SOURCE ID	F	8	72		0	D
